1,Naruto,Sub/Dub,Shounen,2002,Series,8,Tv Tokyo
2,Death Note,Sub/Dub,Thriller,2006,Series,8.63,Madhouse
3,Attack On Titan,Sub,Action,2013,Series,9,Wit Studios
4,Demon Slayer: Kimetsu No Yaiba,Sub/Dub,Action,2019,Series,8.57,Ufotable
5,Naruto: Shippuden,Sub/Dub,Shounen,2007,Series,8.22,Studio Pierrot
6,Bokura No,Sub,Sci-Fi,2007,Series,7.64,Gonzo
7,Your Lie In April,Sub,Romance,2014,Series,8.68,A1-Pictures
8,Tokyo Revengers,Sub/Dub,Sci-Fi,2021,Series,8.27,LidenFilms
9,Your Name,Sub,Romance,2016,Movie,8.89,ComixWave Films
10,One Piece,Sub/Dub,Adventure,1997,Series,8.61,Toei Animation
11,Gintama,Sub/Dub,Action,2006,Series,8.95,Sunrise
12,Violent Evergarden,Sub,Fantasy,2018,Series,8.66,Kyoto
13,Steins Gate,Sub,Sci-Fi,2011,Series,9.09,White Fox
14,Code Geass,Sub/Dub,Romance,2004,Movie,8.88,Mappa
15,Fullmetal Alchemist,Sub/Dub,Action,1994,Series,8.93,Tv Asahi
16,Tokyo Ghoul,Sub,Sci-Fi,2018,Movie,8.97,ComixWave Films
17,Haikyuu!!,Sub,Action,2012,Series,9.02,LidenFilms
18,Psycho Pass,Sub/Dub,Sci-Fi,1994,Movie,9.07,Madhouse
19,KonoSuba,Sub,Action,2013,Series,9.11,Wit Studios
20,Hunter x Hunter,Sub/Dub,Romance,2018,Movie,9.16,Sunrise
21,Clannad After Story,Sub,Sci-Fi,1994,Movie,9.21,ComixWave Films
22,Bakemonogatari,Sub/Dub,Romance,2004,Series,9.25,Tv Asahi
23,My Hero Academia,Sub/Dub,Romance,2012,Movie,9.3,Wit Studios
24,Neon Genensis,Sub,Sci-Fi,2018,Series,9.35,LidenFilms
25,Sword Art Online,Sub,Action,2004,Series,9.39,ComixWave Films